FK_Name	Parent_Table	Parent_Column	Referenced_Table	Referenced_Column
FK_DimAccount_DimAccount	DimAccount	ParentAccountKey	DimAccount	AccountKey
FK_DimCustomer_DimGeography	DimCustomer	GeographyKey	DimGeography	GeographyKey
FK_DimDepartmentGroup_DimDepartmentGroup	DimDepartmentGroup	ParentDepartmentGroupKey	DimDepartmentGroup	DepartmentGroupKey
FK_DimEmployee_DimEmployee	DimEmployee	ParentEmployeeKey	DimEmployee	EmployeeKey
FK_DimEmployee_DimSalesTerritory	DimEmployee	SalesTerritoryKey	DimSalesTerritory	SalesTerritoryKey
FK_DimGeography_DimSalesTerritory	DimGeography	SalesTerritoryKey	DimSalesTerritory	SalesTerritoryKey
FK_DimOrganization_DimCurrency	DimOrganization	CurrencyKey	DimCurrency	CurrencyKey
FK_DimOrganization_DimOrganization	DimOrganization	ParentOrganizationKey	DimOrganization	OrganizationKey
FK_DimProduct_DimProductSubcategory	DimProduct	ProductSubcategoryKey	DimProductSubcategory	ProductSubcategoryKey
FK_DimProductSubcategory_DimProductCategory	DimProductSubcategory	ProductCategoryKey	DimProductCategory	ProductCategoryKey
FK_DimReseller_DimGeography	DimReseller	GeographyKey	DimGeography	GeographyKey
FK_FactCallCenter_DimDate	FactCallCenter	DateKey	DimDate	DateKey
FK_FactCurrencyRate_DimCurrency	FactCurrencyRate	CurrencyKey	DimCurrency	CurrencyKey
FK_FactCurrencyRate_DimDate	FactCurrencyRate	DateKey	DimDate	DateKey
FK_FactFinance_DimAccount	FactFinance	AccountKey	DimAccount	AccountKey
FK_FactFinance_DimDate	FactFinance	DateKey	DimDate	DateKey
FK_FactFinance_DimDepartmentGroup	FactFinance	DepartmentGroupKey	DimDepartmentGroup	DepartmentGroupKey
FK_FactFinance_DimOrganization	FactFinance	OrganizationKey	DimOrganization	OrganizationKey
FK_FactFinance_DimScenario	FactFinance	ScenarioKey	DimScenario	ScenarioKey
FK_FactInternetSales_DimCurrency	FactInternetSales	CurrencyKey	DimCurrency	CurrencyKey
FK_FactInternetSales_DimCustomer	FactInternetSales	CustomerKey	DimCustomer	CustomerKey
FK_FactInternetSales_DimDate	FactInternetSales	OrderDateKey	DimDate	DateKey
FK_FactInternetSales_DimDate1	FactInternetSales	DueDateKey	DimDate	DateKey
FK_FactInternetSales_DimDate2	FactInternetSales	ShipDateKey	DimDate	DateKey
FK_FactInternetSales_DimProduct	FactInternetSales	ProductKey	DimProduct	ProductKey
FK_FactInternetSales_DimPromotion	FactInternetSales	PromotionKey	DimPromotion	PromotionKey
FK_FactInternetSales_DimSalesTerritory	FactInternetSales	SalesTerritoryKey	DimSalesTerritory	SalesTerritoryKey
FK_FactInternetSalesReason_DimSalesReason	FactInternetSalesReason	SalesReasonKey	DimSalesReason	SalesReasonKey
FK_FactInternetSalesReason_FactInternetSales	FactInternetSalesReason	SalesOrderNumber	FactInternetSales	SalesOrderNumber
FK_FactInternetSalesReason_FactInternetSales	FactInternetSalesReason	SalesOrderLineNumber	FactInternetSales	SalesOrderLineNumber
FK_FactProductInventory_DimDate	FactProductInventory	DateKey	DimDate	DateKey
FK_FactProductInventory_DimProduct	FactProductInventory	ProductKey	DimProduct	ProductKey
FK_FactResellerSales_DimCurrency	FactResellerSales	CurrencyKey	DimCurrency	CurrencyKey
FK_FactResellerSales_DimDate	FactResellerSales	OrderDateKey	DimDate	DateKey
FK_FactResellerSales_DimDate1	FactResellerSales	DueDateKey	DimDate	DateKey
FK_FactResellerSales_DimDate2	FactResellerSales	ShipDateKey	DimDate	DateKey
FK_FactResellerSales_DimEmployee	FactResellerSales	EmployeeKey	DimEmployee	EmployeeKey
FK_FactResellerSales_DimProduct	FactResellerSales	ProductKey	DimProduct	ProductKey
FK_FactResellerSales_DimPromotion	FactResellerSales	PromotionKey	DimPromotion	PromotionKey
FK_FactResellerSales_DimReseller	FactResellerSales	ResellerKey	DimReseller	ResellerKey
FK_FactResellerSales_DimSalesTerritory	FactResellerSales	SalesTerritoryKey	DimSalesTerritory	SalesTerritoryKey
FK_FactSalesQuota_DimDate	FactSalesQuota	DateKey	DimDate	DateKey
FK_FactSalesQuota_DimEmployee	FactSalesQuota	EmployeeKey	DimEmployee	EmployeeKey
FK_FactSurveyResponse_CustomerKey	FactSurveyResponse	CustomerKey	DimCustomer	CustomerKey
FK_FactSurveyResponse_DateKey	FactSurveyResponse	DateKey	DimDate	DateKey
